Customer_ID,Customer_Name,Industry,Region,City,Segment,Credit_Days,Customer_Tier
CUST0113,India B2B Account 113,Pharma,East,Kolkata,VIP,90,Healthy
CUST0114,India B2B Account 114,E-commerce,South,Chennai,Growth,60,Healthy
CUST0115,India B2B Account 115,FMCG,West,Ahmedabad,Growth,15,Healthy
CUST0116,India B2B Account 116,Healthcare,East,Kolkata,Growth,60,Healthy
CUST0117,India B2B Account 117,Manufacturing,South,Bengaluru,Growth,45,Healthy
CUST0118,India B2B Account 118,Pharma,East,Kolkata,Growth,30,Healthy
CUST0119,India B2B Account 119,Electronics,East,Guwahati,Growth,45,Healthy
CUST0120,India B2B Account 120,Electronics,West,Pune,Standard,30,Healthy
CUST0121,India B2B Account 121,Pharma,East,Bhubaneswar,Growth,45,Healthy
CUST0122,India B2B Account 122,Manufacturing,South,Hyderabad,Standard,45,Healthy
CUST0123,India B2B Account 123,Pharma,Central,Raipur,Growth,60,Healthy
CUST0124,India B2B Account 124,Auto,East,Patna,Growth,45,Healthy
CUST0125,India B2B Account 125,FMCG,Central,Indore,VIP,15,Healthy
CUST0126,India B2B Account 126,Healthcare,North,Lucknow,VIP,15,Healthy
CUST0127,India B2B Account 127,Electronics,South,Chennai,VIP,60,Healthy
CUST0128,India B2B Account 128,E-commerce,South,Hyderabad,VIP,45,Healthy
CUST0129,India B2B Account 129,Textile,Central,Raipur,Growth,60,Healthy
CUST0130,India B2B Account 130,Pharma,North,Jaipur,VIP,45,Healthy
CUST0131,India B2B Account 131,Electronics,South,Kochi,Standard,45,Healthy
CUST0132,India B2B Account 132,FMCG,West,Pune,Standard,15,Healthy
CUST0133,India B2B Account 133,Healthcare,West,Pune,Growth,30,Healthy
CUST0134,India B2B Account 134,Textile,North,Delhi,Growth,45,Healthy
CUST0135,India B2B Account 135,Textile,North,Delhi,Standard,90,Healthy
CUST0136,India B2B Account 136,Manufacturing,Central,Nagpur,Standard,90,Healthy
CUST0137,India B2B Account 137,Textile,Central,Bhopal,Growth,90,Healthy
CUST0138,India B2B Account 138,Auto,South,Bengaluru,Standard,15,Healthy
CUST0139,India B2B Account 139,FMCG,East,Bhubaneswar,VIP,30,Healthy
CUST0140,India B2B Account 140,Pharma,North,Lucknow,VIP,60,Healthy
CUST0141,India B2B Account 141,Pharma,South,Chennai,Growth,90,Healthy
CUST0142,India B2B Account 142,Textile,East,Bhubaneswar,VIP,30,Healthy
CUST0143,India B2B Account 143,Healthcare,South,Kochi,Growth,45,Healthy
CUST0144,India B2B Account 144,FMCG,West,Ahmedabad,Standard,60,Healthy
CUST0145,India B2B Account 145,Textile,North,Chandigarh,Growth,90,Healthy
CUST0146,India B2B Account 146,Manufacturing,South,Kochi,Growth,45,Healthy
CUST0147,India B2B Account 147,Textile,West,Surat,Growth,45,Healthy
CUST0148,India B2B Account 148,Auto,Central,Nagpur,Standard,30,Healthy
CUST0149,India B2B Account 149,Electronics,South,Chennai,Growth,45,Healthy
CUST0150,India B2B Account 150,E-commerce,North,Chandigarh,Standard,60,Healthy
CUST0151,India B2B Account 151,FMCG,West,Mumbai,Growth,30,Healthy
CUST0152,India B2B Account 152,Auto,North,Delhi,Standard,60,Healthy
CUST0153,India B2B Account 153,FMCG,East,Bhubaneswar,Growth,45,Healthy
CUST0154,India B2B Account 154,FMCG,North,Chandigarh,Standard,45,Healthy
CUST0155,India B2B Account 155,Textile,West,Surat,Growth,90,Healthy
CUST0156,India B2B Account 156,Manufacturing,East,Patna,Standard,45,Healthy
CUST0157,India B2B Account 157,Auto,West,Surat,Standard,45,Healthy
CUST0158,India B2B Account 158,E-commerce,Central,Bhopal,Standard,90,Healthy
CUST0159,India B2B Account 159,Textile,East,Guwahati,Standard,45,Healthy
CUST0160,India B2B Account 160,E-commerce,Central,Raipur,Growth,90,Healthy
CUST0161,India B2B Account 161,Manufacturing,West,Ahmedabad,Growth,15,Healthy
CUST0162,India B2B Account 162,Auto,North,Delhi,Standard,90,Healthy
CUST0163,India B2B Account 163,Manufacturing,East,Patna,Growth,30,Healthy
CUST0164,India B2B Account 164,Pharma,Central,Indore,Standard,60,Healthy
CUST0165,India B2B Account 165,Pharma,North,Jaipur,Standard,30,Healthy
CUST0166,India B2B Account 166,FMCG,Central,Raipur,VIP,15,Healthy
CUST0167,India B2B Account 167,Manufacturing,South,Bengaluru,VIP,90,Healthy
CUST0168,India B2B Account 168,Healthcare,West,Ahmedabad,Standard,15,Healthy
CUST0169,India B2B Account 169,Textile,Central,Nagpur,Standard,30,Healthy
CUST0170,India B2B Account 170,Manufacturing,North,Delhi,Growth,30,Healthy
CUST0171,India B2B Account 171,FMCG,Central,Bhopal,Growth,30,Healthy
CUST0172,India B2B Account 172,Electronics,West,Mumbai,Growth,60,Healthy
CUST0173,India B2B Account 173,Electronics,Central,Nagpur,Growth,45,Healthy
CUST0174,India B2B Account 174,Electronics,Central,Indore,Standard,90,Healthy
CUST0175,India B2B Account 175,Textile,South,Hyderabad,Growth,15,Healthy
CUST0176,India B2B Account 176,Electronics,South,Kochi,VIP,60,Healthy
CUST0177,India B2B Account 177,Textile,North,Chandigarh,Standard,45,Healthy
CUST0178,India B2B Account 178,Electronics,Central,Raipur,Growth,60,Healthy
CUST0179,India B2B Account 179,Electronics,East,Kolkata,Growth,15,Healthy
CUST0180,India B2B Account 180,Healthcare,Central,Nagpur,Growth,15,Healthy
CUST0181,City Care Hospital,FMCG,South,Kochi,Risk,30,Focus
CUST0182,Medicover Pvt. Ltd.,E-commerce,North,Chandigarh,Standard,30,Focus
CUST0183,Apollo Hospitals,Electronics,South,Bengaluru,Risk,90,Focus
CUST0184,Fortis Healthcare,Manufacturing,West,Pune,Risk,90,Focus
CUST0185,Sunrise Hospital,Manufacturing,Central,Raipur,Risk,90,Focus
CUST0186,North Star Pharma,Auto,South,Kochi,Standard,45,Focus
CUST0187,Metro Auto Parts,Manufacturing,South,Kochi,Risk,90,Focus
CUST0188,Prime Retail Hub,Pharma,West,Ahmedabad,Risk,15,Focus
CUST0189,Eastern Cold Chain,Healthcare,South,Bengaluru,Standard,15,Focus
CUST0190,QuickCart Sellers,Auto,North,Lucknow,Standard,15,Focus
CUST0191,Heritage Foods DC,Auto,East,Patna,Risk,60,Focus
CUST0192,Central Medical Stores,Healthcare,East,Bhubaneswar,Risk,45,Focus
CUST0193,OmniTech Distribution,Auto,West,Surat,Risk,30,Focus
CUST0194,Bharat Textiles,FMCG,West,Mumbai,Risk,30,Focus
CUST0195,Galaxy Electronics,FMCG,North,Jaipur,Risk,60,Focus
CUST0196,Nova FMCG Depot,Manufacturing,East,Bhubaneswar,Standard,90,Focus
CUST0197,Zenith Export House,Textile,Central,Bhopal,Standard,15,Focus
CUST0198,CarePlus Diagnostics,Electronics,South,Bengaluru,Risk,30,Focus
CUST0199,Urban Fresh Supply,Healthcare,East,Bhubaneswar,Standard,90,Focus
CUST0200,Apex Industrial Tools,Textile,North,Chandigarh,Standard,90,Focus
